Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
Looking for Mr. Good Witch,7.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",Joyce and Jim Lavene,5268266,304.0,BerkleyPenguin Publishing Group,English,,,,1566
Golden Son,15.89,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Brown, Pierce",5539817,442.0,Random House Inc,English,9.50 x 6.50 x 1.50 Inches,,,1567
BRAVE NEW WORLD,12.99,Books > Literature & Fiction > Fiction > Political > Best seller ranking: > # > 1551 >  > in > Books > # > 100 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Classics,"HUXLEY, ALDOUS",850522,288.0,Harpercollins,English,5.50 x 8.00 x 0.75 Inches,,4.0,1568
I Am Pilgrim,14.0,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General","Hayes, Terry",4138218,831.0,Christian Large Print,English,6.00 x 9.00 x 1.75 Inches,,,1569
The Ghost and the Bogus Bestseller,5.4,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Coyle, Cleo",425237451,,Berkley Pub Group,English,2.00 x 10.00 x 8.00 Inches,,,1570
The Sword of Midras,3.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Tracy Hickman Richard Garriott,076538230X,336.0,Tom Doherty AssociatesTor Books,English,217.93 x 145.80 x 1.20 Millimeters,,,1571
The Dark Horse ,13.18,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural > Best seller ranking: > # > 8150 >  > in > Books > # > 734 >  > in > Books > Literature & Fiction > # > 107 >  > in > Books > Literature & Fiction > Mystery & Suspense",Craig Johnson,3117312,368.0,Penguin BooksPenguin Publishing Group,English,,,,1572
Different Seasons,12.39,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Stephen King,1143487,608.0,Scribner,English,8.38 x 139.70 x 1.40 Inches (US),,,1573
Melt,13.18,Books > Literature & Fiction > Fiction > Romance > Contemporary,"Hardt, Helen",3893202,282.0,Waterhouse Press,English,5.25 x 8.25 x 1.00 Inches,,,1574
Perdido Street Station,15.82,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Mieville, China",5443025,710.0,Random House Inc,English,6.25 x 9.25 x 1.25 Inches,,,1575
City of Endless Night,21.62,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Douglas Preston Lincoln Child,1455536946,368.0,Grand Central Publishing,English,9.38 x 6.50 x 1.25 Inches (US),,,1576
Flame of Sevenwaters,7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Marillier, Juliet",045141487X,432.0,Berkley Pub Group,English,6.75 x 4.25 x 1.25 Inches,,,1577
The Silmarillion (Hardcover),65.33,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Tolkien, J. R. R.",7264895,368.0,Harper Collins,,,,,1578
Dark Matter,13.93,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General","Crouch, Blake",143284007X,515.0,Christian Large Print,English,9.00 x 6.00 x 1.00 Inches,,,1579
Shadow Fall,3.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,Seressia Glass,1501100270,384.0,Gallery Books,English,203.20 x 127.00 x 1.10 Millimeters,,,1580
"KRAKEN PROJECT, THE",6.73,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General","PRESTON, DOUGLAS",5356980,416.0,Tor Books,English,7.75 x 4.25 x 1.25 Inches,,,1581
