Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
Don't Let Go,15.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Harlan Coben,1524742252,368,Dutton; Reprint edition ,English,5.4 x 0.7 x 8 inches,9.8 ounces,4
Neverwhere,12.63,Books > Science Fiction & Fantasy > Fantasy,"Gaiman, Neil",62459082,464,William Morrow Paperbacks; Reprint edition ,English,5.3 x 0.7 x 8 inches,11.2 ounces,4
Dark Places Paperback ,9.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Flynn, Gillian",307341577,349,Broadway Books; Reprint edition ,English,5.2 x 0.8 x 8 inches,9.9 ounces,4
The Walking Dead Compendium (Volume 3) (Issues #97-144) (Paperback),37.78,Books > Comics & Graphic Novels > Graphic Novels,Robert Kirkman,1632154560,1088,Image Comics; 3 edition ,English,6.5 x 2.2 x 10.1 inches,4.7 pounds,4
A Feast for Crows,8.39,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,055358202X,1104,Bantam ,English,4.2 x 1.7 x 6.8 inches,1 pounds,4
Catch-22,12.81,Books > Humor & Entertainment > Humor,Joseph Heller,1451626657,544,Simon & Schuster; Anniversary edition ,English,5.5 x 1.2 x 8.4 inches,14.4 ounces,4
Behind Her Eyes,12.78,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Sarah Pinborough,1250111196,320,Flatiron Books; Reprint edition ,English,5.7 x 0.9 x 8.2 inches,9.4 ounces,3
The Walking Dead Compendium (Volume 2) (Issues #49-96) (Paperback),38.2,Books > Comics & Graphic Novels > Graphic Novels,Robert Kirkman,1607065967,1068,Image Comics; First Paperback Edition edition ,English,6.6 x 1.9 x 10.2 inches,4.7 pounds,4
Bury Your Dead,14.76,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Louise Penny,312626908,400,Minotaur Books; Reprint edition ,English,5.6 x 1 x 8.2 inches,1.3 pounds,4
The Perks of Being a Wallflower Paperback ,14.2,Books > Literature & Fiction > Genre Fiction,Stephen Chbosky,1451696191,224,MTV Books; Media Tie-In edition ,English,5 x 0.5 x 7 inches,7.2 ounces,4
The Beautiful Mystery,14.19,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250031125,400,Minotaur Books; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,12 ounces,4
The Grapes of Wrath Paperback ,10.15,Books > Literature & Fiction > Genre Fiction,John Steinbeck,143039431,528,Penguin Classics; Reissue edition ,English,5.1 x 0.9 x 7.7 inches,12.8 ounces,4
Beren and Lúthien Hardcover ,22.0,Books > Science Fiction & Fantasy > Fantasy,J.R.R. Tolkien,1328791823,288,Houghton Mifflin Harcourt; 1st Edition edition ,English,5.5 x 1 x 8.2 inches,2 pounds,4
Magpie Murders,15.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Anthony Horowitz,62645226,496,Harper; 1st Edition edition ,English,6 x 1.5 x 9 inches,1.4 pounds,4
"A Trick of the Light Chief Inspector Gamache, Book 7",14.53,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250007348,368,Minotaur Books; 4th Print edition ,English,5.6 x 1 x 8.2 inches,14.4 ounces,4
The Girl in the Spider's Web Millennium Series,7.48,"Books > Mystery, Thriller & Suspense > Mystery","LAGERCRANTZ, DAVID",525434763,544,Vintage Crime/Black Lizard; Reprint edition ,English,4.2 x 1.1 x 7.6 inches,9.8 ounces,3
The Brutal Telling,10.48,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250161665,448,Minotaur Books; Reprint edition ,English,5.6 x 1.1 x 8.2 inches,12.2 ounces,4
How the Light Gets In,13.88,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250047277,432,Minotaur Books; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,12.8 ounces,4
The Sirens of Titan,13.6,Books > Humor & Entertainment > Humor,"Vonnegut, Kurt",385333498,336,Dial Press Trade Paperback; Reissue edition ,English,5.2 x 0.7 x 8 inches,9.6 ounces,4
The Cartel 7,9.39,Books > Literature & Fiction > United States,Ashley JaQuavis JaQuavis Coleman,1250067006,304,St. Martin's Griffin ,English,5.5 x 0.8 x 8.3 inches,9.1 ounces,4
