Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
A Devil in Scotland,7.99,Books > Romance > Historical,Suzanne Enoch,125009545X,320.0,St. Martin's Paperbacks ,English,4.4 x 0.9 x 7.2 inches,5.6 ounces,4.4,2479
First Time Lucky Paperback ,11.65,Books > Literature & Fiction > Women's Fiction,Chance Carter,1773820141,254.0,Chance Carter Diamond Group ,English,5 x 0.6 x 8 inches,12.2 ounces,4.8,2480
"Silver Borne Mercy Thompson, Book 5",7.99,Books > Literature & Fiction > Action & Adventure,Patricia Briggs,044101996X,304.0,Ace; Reprint edition ,English,4.2 x 0.8 x 6.7 inches,4.2 ounces,4.8,2481
Sweet Thursday Penguin Classics,13.8,Books > Romance > Historical,John Steinbeck,143039474,288.0,Penguin Classics; Revised edition ,English,5.1 x 0.5 x 7.8 inches,8 ounces,4.6,2482
Rose Harbor in Bloom,6.91,Books > Literature & Fiction > Genre Fiction,Debbie Macomber,034553526X,400.0,Ballantine Books ,English,4.1 x 1.1 x 6.9 inches,7 ounces,4.7,2483
Flight of the Sparrow,11.83,Books > Literature & Fiction > Genre Fiction,Amy Belding Brown,451466691,368.0,Berkley; 1st Edition edition ,English,5.4 x 0.8 x 8.2 inches,8 ounces,4.5,2484
Luckiest Cowboy of All,6.77,Books > Literature & Fiction > Women's Fiction,Carolyn Brown,1455597503,688.0,Forever; Forever Special Release edition ,English,4.2 x 1.4 x 6.8 inches,10.6 ounces,4.6,2485
A Whole New Light Paperback ,6.75,Books > Literature & Fiction > Women's Fiction,Sandra Brown,055329783X,256.0,Bantam; Reissue edition ,English,4.2 x 0.5 x 6.8 inches,4.8 ounces,3.8,2486
The Next Always The Inn Boonsboro Trilogy,6.19,Books > Literature & Fiction > Women's Fiction,Nora Roberts,515151491,336.0,Berkley; Reprint edition ,English,4.2 x 0.9 x 6.8 inches,5.6 ounces,4.5,2487
An Echo in the Darkness Mark of the Lion #2,12.43,Books > Christian Books & Bibles > Literature & Fiction,Francine Rivers,842313079,461.0,"Tyndale House Publishers, Inc.; Anniversary edition ",English,5.9 x 1.3 x 8.8 inches,1.1 pounds,4.8,2488
George Stella's Livin' Low Carb,9.75,"Books > Cookbooks, Food & Wine > Special Diet",George Stella,743269977,272.0,Simon & Schuster; First Edition edition ,English,7.4 x 0.7 x 9.1 inches,1.2 pounds,4.4,2489
Where Shadows Meet,9.07,Books > Christian Books & Bibles > Literature & Fiction,Colleen Coble,785216650,336.0,Thomas Nelson ,English,,1.1 pounds,,2490
Before I Knew The Cabots,6.39,Books > Literature & Fiction > Genre Fiction,Jamie Beck,1477824448,352.0,Montlake Romance ,English,5.5 x 1 x 8.2 inches,12 ounces,4.1,2491
Boss Lady Volume 1,12.99,Books > Romance > Romantic Suspense,Victoria Quinn,197915807X,338.0,CreateSpace Independent Publishing Platform ,English,5 x 0.8 x 8 inches,15.5 ounces,4.9,2492
Escapade Mass Market Paperback ,7.99,Books > Romance > Contemporary,Diana Palmer,1335017879,384.0,HQN ,English,4.2 x 0.8 x 6.6 inches,5.8 ounces,,2493
As You Wish A Summerhouse Novel,16.88,Books > Literature & Fiction > Women's Fiction,Jude Deveraux,778307611,416.0,MIRA ,English,6.1 x 1.4 x 9.2 inches,1.2 pounds,4.5,2494
Beautiful Burn,14.99,Books > Romance > New Adult & College,Jamie McGuire,1512284130,251.0,CreateSpace Independent Publishing; First edition ,English,5.5 x 0.8 x 8.5 inches,12.6 ounces,4.5,2495
Spinning the Moon Paperback ,10.87,Books > Literature & Fiction > Genre Fiction,Karen White,1101989513,640.0,Berkley ,English,5.4 x 1.4 x 8.2 inches,1.1 pounds,4.4,2496
In the Shadow of Denali The Heart of Alaska,7.13,Books > Christian Books & Bibles > Literature & Fiction,Kimberley Woodhouse,764219235,320.0,Bethany House Publishers ,English,5.5 x 0.8 x 8.5 inches,9.9 ounces,4.5,2497
The Fire Queen The Hundredth Queen Series,7.38,Books > Teen & Young Adult > Science Fiction & Fantasy,Emily R. King,1611097495,286.0,Skyscape ,English,5.5 x 1 x 8.2 inches,10.4 ounces,4.5,2498
November 9,8.89,Books > Literature & Fiction > United States,Colleen Hoover,1501110349,320.0,Atria Books ,English,5.3 x 0.9 x 8.2 inches,12.6 ounces,4.8,2499
Too Late Paperback ,13.99,Books > Romance > Romantic Suspense,C. Hoover,1540324168,394.0,CreateSpace Independent Publishing Platform ,English,5.5 x 0.9 x 8.5 inches,1.2 pounds,4.4,2500
The Undomestic Goddess,11.75,Books > Literature & Fiction > Women's Fiction,Sophie Kinsella,385338694,400.0,Dial Press Trade Paperback; Reprint edition ,English,5.5 x 0.8 x 8.2 inches,13.6 ounces,4.2,2501
Shogun Asian Saga,6.99,Books > Literature & Fiction > Action & Adventure,James Clavell,440178002,1152.0,Dell; Reissue edition ,English,4.2 x 1.7 x 6.8 inches,1 pounds,4.8,2502
excerpts from the book i'll never write Paperback ,10.75,Books > Romance,Nadia Nell Starbinski,1549893335,77.0,Independently published ,English,5 x 0.2 x 8 inches,3.2 ounces,4.6,2503
Beach House for Rent The Beach House,10.27,Books > Literature & Fiction > Genre Fiction,Mary Alice Monroe,150112546X,416.0,Gallery Books; First Edition edition ,English,6 x 1.2 x 9 inches,1.4 pounds,4.7,2504
Charming Hannah The Big Sky Series,14.99,Books > Romance > Contemporary,Kristen Proby,1633500314,332.0,Ampersand Enterprises ,English,5 x 0.8 x 8 inches,15.4 ounces,4.3,2505
The Christmas Remedy,11.8,Books > Christian Books & Bibles > Literature & Fiction,Cindy Woodsmall,735291047,208.0,WaterBrook ,English,,1.2 pounds,,2506
Garden Spells Bantam Discovery,12.62,Books > Literature & Fiction > Genre Fiction,Sarah Addison Allen,055338483X,320.0,Bantam Discovery; Reprint edition ,English,5.5 x 0.7 x 8.2 inches,8 ounces,4.5,2507
"Confessions of a Shopaholic Shopaholic, No 1",9.89,Books > Literature & Fiction > Women's Fiction,Sophie Kinsella,385335482,320.0,Dial Press Trade Paperback; Cover Has Some Spots edition ,English,5.2 x 0.7 x 8.2 inches,9.6 ounces,3.9,2508
Shadow Keeper A Shadow Riders Novel,7.99,Books > Romance > Contemporary,Christine Feehan,451490126,416.0,Berkley ,English,4.2 x 1 x 6.8 inches,7.4 ounces,,2509
Taming Angelina The Temptation Saga,10.19,Books > Literature & Fiction > United States,Helen Hardt,1943893292,204.0,Waterhouse Press ,English,5.2 x 0.8 x 8.5 inches,8.8 ounces,4.7,2510
The Shell Seekers Paperback ,16.99,Books > Literature & Fiction > Genre Fiction,Rosamunde Pilcher,1250063787,656.0,St. Martin's Griffin; Reissue edition ,English,5.4 x 1.2 x 8.3 inches,1.2 pounds,4.7,2511
Only You Paperback ,13.49,Books > Romance > Contemporary,Melanie Harlow,998310182,316.0,MH Publishing LLC ,English,5 x 0.7 x 8 inches,14.7 ounces,4.7,2512
Nobody Does It Better Masters and Mercenaries Book 15,15.99,Books > Romance > Contemporary,Lexi Blake,1937608670,394.0,"DLZ Entertainment, LLC ",English,6 x 1 x 9 inches,1.5 pounds,4.6,2513
Born in Shame Irish Born Trilogy,13.92,Books > Literature & Fiction > Genre Fiction,Nora Roberts,425266117,368.0,Berkley; Reprint edition ,English,5.6 x 1 x 8.2 inches,13.6 ounces,4.7,2514
After We Collided The After Series,12.97,Books > Literature & Fiction > Women's Fiction,Anna Todd,1476792496,688.0,Gallery Books ,English,5.3 x 1.8 x 8.2 inches,1.2 pounds,4.2,2515
Teasing Annie The Temptation Saga,10.74,Books > Literature & Fiction > United States,Helen Hardt,1943893276,224.0,Waterhouse Press ,English,5.2 x 0.6 x 7.9 inches,8.5 ounces,4.8,2516
Isaiah's Daughter,11.5,Books > Christian Books & Bibles > Literature & Fiction,Mesu Andrews,735290253,400.0,WaterBrook ,English,5.5 x 1 x 8.3 inches,12.8 ounces,4.8,2517
